########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	45733
file                           	BQD-020_Q_BOB_020.0A_210204_122716.dat
date                           	04/02/2021
hour                           	12:27:16
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	2
temperature(C)                 	23.82
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+2.001360e+01
main_coil_current_std(A)       	+8.825800e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2021-01-28_r=13mm_b2_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	246528
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Ciclagem bipolar + ciclagem monopolar senoidal amortecida + Rampa, F1000A, fator de correção 1,5%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +4.944297e-05   	  +5.103751e-07   	  -1.555928e-06   	  +3.132003e-07   	  +4.946745e-05   	  +5.102177e-07   	  -3.145876e-02   	  +6.336625e-03   	  -1.214046e-02   	  +1.253227e-04   	  +3.820524e-04   	  +7.690467e-05   
2   	  -3.393816e-01   	  +2.333830e-05   	  +1.977061e-04   	  +3.210659e-05   	  +3.393816e-01   	  +2.333830e-05   	  -2.912740e-04   	  +4.730160e-05   	  +1.000000e+00   	  +9.725142e-05   	  -5.825497e-04   	  +9.460324e-05   
3   	  -3.577275e-02   	  +1.390667e-03   	  +1.339724e-03   	  +1.345973e-03   	  +3.579783e-02   	  +1.390606e-03   	  -1.247782e-02   	  +1.253368e-02   	  +1.264869e-03   	  +4.917189e-05   	  -4.737124e-05   	  +4.759148e-05   
4   	  -1.062201e-01   	  +1.195266e-01   	  +1.143890e-02   	  +1.270303e-01   	  +1.068343e-01   	  +1.196153e-01   	  -2.681927e-02   	  +2.970647e-01   	  +4.506890e-05   	  +5.071528e-05   	  -4.855439e-06   	  +5.389909e-05   
5   	  +3.031839e+01   	  +5.161782e+00   	  -8.675468e+00   	  +9.161307e+00   	  +3.153520e+01   	  +5.565923e+00   	  -5.573964e-02   	  +5.658154e-02   	  -1.543696e-04   	  +2.628180e-05   	  +4.417150e-05   	  +4.664584e-05   
6   	  +2.399006e+04   	  +3.491492e+02   	  -3.997289e+03   	  +5.997268e+02   	  +2.432080e+04   	  +3.582290e+02   	  -2.751765e-02   	  +4.072974e-03   	  -1.465777e-03   	  +2.133304e-05   	  +2.442322e-04   	  +3.664293e-05   
7   	  -6.985851e+04   	  +4.121305e+04   	  -3.280810e+04   	  +1.616532e+04   	  +7.717890e+04   	  +3.793164e+04   	  +6.272328e-02   	  +4.225050e-02   	  +5.122006e-05   	  +3.021709e-05   	  +2.405461e-05   	  +1.185229e-05   
8   	  -1.125340e+06   	  +2.070115e+06   	  -6.145362e+05   	  +2.037745e+06   	  +1.282203e+06   	  +2.062724e+06   	  +6.247947e-02   	  +1.993859e-01   	  +9.901769e-06   	  +1.821351e-05   	  +5.406524e-06   	  +1.792871e-05   
9   	  -8.052627e+07   	  +1.764290e+08   	  -5.110353e+07   	  +2.320172e+08   	  +9.537322e+07   	  +1.940257e+08   	  +6.283186e-02   	  +2.534091e-01   	  +8.501893e-06   	  +1.862732e-05   	  +5.395405e-06   	  +2.449631e-05   
10  	  -6.225104e+10   	  +2.011516e+10   	  +1.410331e+10   	  +1.139476e+10   	  +6.382864e+10   	  +1.977889e+10   	  -2.227944e-02   	  +1.875169e-02   	  +7.887008e-05   	  +2.548504e-05   	  -1.786840e-05   	  +1.443667e-05   
11  	  -6.804669e+11   	  +1.130407e+12   	  -1.564325e+11   	  +7.033698e+11   	  +6.982165e+11   	  +1.112884e+12   	  +2.054217e-02   	  +9.514874e-02   	  +1.034549e-05   	  +1.718612e-05   	  +2.378331e-06   	  +1.069367e-05   
12  	  +2.693001e+13   	  +1.183942e+14   	  -5.851839e+13   	  +5.173239e+13   	  +6.441761e+13   	  +6.825161e+13   	  -9.495789e-02   	  +1.419187e-01   	  -4.912643e-06   	  +2.160004e-05   	  +1.067582e-05   	  +9.438147e-06   
13  	  +4.433869e+15   	  +9.102324e+15   	  +3.062500e+14   	  +8.289780e+15   	  +4.444433e+15   	  +9.098638e+15   	  +5.304698e-03   	  +1.435474e-01   	  -9.707185e-06   	  +1.992773e-05   	  -6.704439e-07   	  +1.814882e-05   
14  	  +3.538387e+17   	  +3.467804e+17   	  -4.939183e+15   	  +1.114907e+18   	  +3.538732e+17   	  +3.470956e+17   	  -9.969964e-04   	  +2.250220e-01   	  -9.295840e-06   	  +9.110480e-06   	  +1.308100e-07   	  +2.929042e-05   
15  	  -3.522903e+19   	  +5.853801e+19   	  +7.602106e+18   	  +3.040206e+19   	  +3.603993e+19   	  +5.757914e+19   	  -1.416880e-02   	  +5.952873e-02   	  +1.110685e-05   	  +1.845466e-05   	  -2.396753e-06   	  +9.584533e-06   

magnetic_center_x(um) 	145.686
magnetic_center_y(um) 	-4.585


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.742962919593125e-06	1.7598483913158348e-06	1.76789056922646e-06	1.72882681852083e-06	1.75693709536494e-06	1.7950525864306999e-06	1.769117550907245e-06	1.7550834650133151e-06	1.759236636189745e-06	1.7693465531465e-06
4.524985706666355e-06	4.522472393091145e-06	4.501739235820595e-06	4.53007325177119e-06	4.50790225158958e-06	4.5142999806554e-06	4.501186942888855e-06	4.51472371878449e-06	4.5140903512218e-06	4.510890814799704e-06
7.22855053481918e-06	7.2058724822455996e-06	7.243913505590565e-06	7.2376452271779995e-06	7.23274984238697e-06	7.236193946482255e-06	7.242670062624255e-06	7.25967871403515e-06	7.2469585074941994e-06	7.2156892315434705e-06
9.9278063135017e-06	9.946883487826649e-06	9.9249727327378e-06	9.9235044308451e-06	9.92928536561545e-06	9.9311630719921e-06	9.915718578671849e-06	9.92842624327675e-06	9.9100863553797e-06	9.962708718378e-06
1.2425669124241199e-05	1.2413275007929201e-05	1.241552180544855e-05	1.241524229954365e-05	1.24277277927789e-05	1.242492735855535e-05	1.2418625933601451e-05	1.242484852354845e-05	1.24284588082437e-05	1.240725667230035e-05
1.4845470950605651e-05	1.48444066780913e-05	1.4857136739005649e-05	1.4857745022711999e-05	1.482323320943035e-05	1.48085304817861e-05	1.4844302759232e-05	1.485435153427095e-05	1.484886981416215e-05	1.483683672631475e-05
1.71401320676511e-05	1.71503250749103e-05	1.715128005344005e-05	1.715034299195195e-05	1.715885896374235e-05	1.7153107592092198e-05	1.716149635285635e-05	1.714990044092765e-05	1.715087691990935e-05	1.716084954750405e-05
1.9172358634025203e-05	1.9194348224120952e-05	1.91643138805415e-05	1.91701942549132e-05	1.917380095619815e-05	1.91752056525728e-05	1.91642565459964e-05	1.91469307628695e-05	1.91593186082184e-05	1.91701673793458e-05
2.1065663595435298e-05	2.105506745465525e-05	2.106543604896005e-05	2.106659886521825e-05	2.10695426358144e-05	2.1056767782281152e-05	2.105178684359925e-05	2.10845069523219e-05	2.107846174112565e-05	2.10786194111296e-05
2.277847223922305e-05	2.27735396765605e-05	2.279860741509925e-05	2.279652724609975e-05	2.27872802588544e-05	2.27828637071076e-05	2.279772410474595e-05	2.281369894262315e-05	2.27851875479287e-05	2.277799922922105e-05
2.4120240368574802e-05	2.4131268310158098e-05	2.410994523416145e-05	2.41215787718786e-05	2.412702555375175e-05	2.41368440947528e-05	2.409971101769365e-05	2.4110212198140147e-05	2.4123356142806248e-05	2.413449517006945e-05
2.527466786886715e-05	2.527428623579825e-05	2.52834221373637e-05	2.527890166674775e-05	2.5275015459557897e-05	2.528309246372445e-05	2.52722526511228e-05	2.528177376916745e-05	2.5278634702769052e-05	2.5270561282012798e-05
2.615565079395635e-05	2.61625578150441e-05	2.61649407821056e-05	2.617088565785285e-05	2.6167864843954947e-05	2.615539995531415e-05	2.61663418950798e-05	2.61665031484842e-05	2.61542353473508e-05	2.617955929963735e-05
2.6740731918830548e-05	2.673660741493455e-05	2.674247703907535e-05	2.675091775926915e-05	2.67541123685075e-05	2.67357760640109e-05	2.67358136898092e-05	2.67501294092691e-05	2.674771239980975e-05	2.6749002427094198e-05
2.7037271565862248e-05	2.7038219377571397e-05	2.70536710377221e-05	2.704995325075725e-05	2.70467245991309e-05	2.70641130919085e-05	2.702871796827355e-05	2.703996270611105e-05	2.704174903556445e-05	2.704726748561405e-05
2.70787566933025e-05	2.7086324853373898e-05	2.70866563187183e-05	2.70840959728962e-05	2.70738384642713e-05	2.708782809350225e-05	2.70701188856013e-05	2.70988972442843e-05	2.707479523451605e-05	2.708391142732485e-05
2.6705403088276298e-05	2.669574938408995e-05	2.669739954399135e-05	2.670709804078675e-05	2.6702437817218348e-05	2.67210930451233e-05	2.6691599796321848e-05	2.6699264708441798e-05	2.670047769243435e-05	2.6713756014937448e-05
2.6077424972756748e-05	2.60815656019991e-05	2.609217249301005e-05	2.60961715775948e-05	2.60685399098335e-05	2.607120238280975e-05	2.608559872897185e-05	2.6081004798474297e-05	2.606393164569475e-05	2.606874058074135e-05
2.52808277491536e-05	2.52721845663468e-05	2.5268805411546947e-05	2.52668488701634e-05	2.5269188836321e-05	2.5289859731859747e-05	2.525336987673275e-05	2.5265109125034048e-05	2.52808384993845e-05	2.5297693064204702e-05
2.4013504944376048e-05	2.39998037795856e-05	2.4021185981832497e-05	2.40256204506308e-05	2.401174011538445e-05	2.40311998186358e-05	2.400766577921295e-05	2.40276397016749e-05	2.402194208115955e-05	2.399844925093545e-05
2.260736445350365e-05	2.26252223728828e-05	2.26296550499661e-05	2.261782800815185e-05	2.2607138698733548e-05	2.260612459395355e-05	2.262494645037835e-05	2.2619479959758398e-05	2.262052989863155e-05	2.26289186593957e-05
2.097345710354035e-05	2.09909387649562e-05	2.097659079481345e-05	2.0972511083526498e-05	2.098146064781545e-05	2.0998266836616298e-05	2.096862666803195e-05	2.09656864808461e-05	2.097050079100815e-05	2.09938019088403e-05
1.900930097690495e-05	1.897101941721895e-05	1.9018103621420848e-05	1.90176073192519e-05	1.89935644357339e-05	1.897119500426455e-05	1.898397164950295e-05	1.90242330427296e-05	1.90109905543098e-05	1.899819599202975e-05
1.6888229156394098e-05	1.69029426342594e-05	1.6901201097424902e-05	1.69006671694675e-05	1.69105860459274e-05	1.69050908880349e-05	1.6888944046512548e-05	1.68906443741483e-05	1.689354693553585e-05	1.69132771861762e-05
1.4641747870880399e-05	1.46385792413618e-05	1.461455158733265e-05	1.46373832785731e-05	1.46246917393047e-05	1.4665324015369349e-05	1.4625752428398899e-05	1.463073605464345e-05	1.4628683657068849e-05	1.46386500136906e-05
1.2183461126369299e-05	1.216359560203445e-05	1.219777057485625e-05	1.2195661738584201e-05	1.219241427406855e-05	1.219928546106315e-05	1.2178473916724299e-05	1.21885943599397e-05	1.2178853758088051e-05	1.217023386743835e-05
9.594370094418744e-06	9.629676528675365e-06	9.63171280091051e-06	9.6068717130033e-06	9.60952612331327e-06	9.630098475099305e-06	9.628052348489775e-06	9.631893763071561e-06	9.60330890848172e-06	9.626202413528175e-06
6.96703512858246e-06	6.9539928631457e-06	6.92377486984649e-06	6.9536219803008054e-06	6.97432736615138e-06	6.946518767563155e-06	6.917239627455225e-06	6.942447118945439e-06	6.9592259842462e-06	6.94469794780187e-06
4.1754819289967e-06	4.18068727867624e-06	4.20838658328676e-06	4.2093657498301245e-06	4.2043978010041605e-06	4.187223864846861e-06	4.185236864486594e-06	4.219288657623166e-06	4.19730668227184e-06	4.18958264390361e-06
